URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/02zBhKZIES8MMX9lvo1WKQ,0.782,0.801,-6.211,0.0903,0.527,0,0.126,0.46,109.997
https://open.spotify.com/track/031QO44Ql8D7D3ePdI7fkg,0.647,0.726,-4.931,0.186,0.0842,0,0.111,0.883,154.887
https://open.spotify.com/track/033eAdPpnmBbgfLvbLBih0,0.717,0.807,-6.279,0.0911,0.172,0.00131,0.351,0.542,125.94
https://open.spotify.com/track/0362SHfDTYXjWFVa8PPY7I,0.88,0.748,-5.605,0.247,0.0688,4.00E-06,0.0801,0.601,119.977
https://open.spotify.com/track/036NjfC7XOsmhds5tlNWUT,0.75,0.582,-8.436,0.3,0.579,7.91E-06,0.092,0.547,145.694
https://open.spotify.com/track/038kavjqUaGIYZL5lYocvX,0.743,0.671,-5.241,0.122,0.0512,0,0.116,0.499,163.229
https://open.spotify.com/track/03AArN9XwJu3oymXLPaoWX,0.356,0.561,-6.712,0.0682,0.463,0,0.102,0.477,67.351
https://open.spotify.com/track/03ByOgf9N6X75EsAusQXPL,0.628,0.924,-3.619,0.0463,0.0741,1.33E-05,0.682,0.635,102.027
https://open.spotify.com/track/03CuKm1ugqpOYDukfxQlT0,0.648,0.95,-7.144,0.0387,0.194,1.82E-05,0.26,0.693,121.922
https://open.spotify.com/track/03EcqaAMg58r10dgbl0o6y,0.906,0.597,-2.566,0.0764,0.165,2.94E-06,0.0775,0.967,124.008
https://open.spotify.com/track/03G43mO3a34IGIsyDd4sj5,0.86,0.567,-9.024,0.0816,0.488,0,0.0428,0.904,98.33
https://open.spotify.com/track/03HsZP3FKOd0qWlRU01MxT,0.641,0.507,-12.01,0.481,0.171,0,0.461,0.503,190.083
https://open.spotify.com/track/03INrUW4VCJpDXKQzNEaKS,0.463,0.696,-4.517,0.0294,0.103,0,0.104,0.447,187.971
https://open.spotify.com/track/03JMjrsnUgeZNJ5yUJgWbL,0.741,0.664,-9.512,0.0467,0.0746,0,0.114,0.481,80.493
https://open.spotify.com/track/03Kk4fPKQ92N2PcLEeSnVE,0.787,0.671,-8.414,0.202,0.222,0,0.0828,0.694,105.014
https://open.spotify.com/track/03LYjLHQL99cDD5EX2EEPH,0.638,0.508,-6.633,0.0525,0.382,0,0.0734,0.431,83.012
https://open.spotify.com/track/03LqgmpDNqs6ZiJ5nObWAi,0.805,0.319,-11.746,0.0305,0.76,2.22E-06,0.0941,0.71,112.351
https://open.spotify.com/track/03Mradtcg4Il4gUQJ9LC9V,0.557,0.312,-15.003,0.277,0.48,3.95E-05,0.124,0.0748,89.484
https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC,0.653,0.797,-4.489,0.0391,0.416,0,0.177,0.71,128.215
https://open.spotify.com/track/03QZPaiw1N94aAFDv7k5Em,0.315,0.975,-3.21,0.0685,0.000567,0.00137,0.467,0.436,138.197
https://open.spotify.com/track/03Qa4yCUzzXK5RtCXEQEw7,0.689,0.869,-7.793,0.0339,0.209,0.247,0.213,0.962,100.048
https://open.spotify.com/track/03XPfQ7C3PuocYRQy3yR4l,0.762,0.763,-4.494,0.187,0.102,0,0.0799,0.566,182.975
https://open.spotify.com/track/03YoRDLmG333y0ORu2D5A4,0.462,0.957,-3.304,0.131,0.00129,0.00203,0.314,0.498,165.112
https://open.spotify.com/track/03aduXwm6cTqO9bb4XFQ2b,0.647,0.7,-9.007,0.0562,0.511,3.96E-05,0.088,0.949,176.122
https://open.spotify.com/track/03b6jFOFmLJ3TnuCgfhO1L,0.591,0.767,-7.304,0.0462,0.0131,0.000452,0.146,0.201,118.13
https://open.spotify.com/track/03bJAhLIXtHDxMozoBvUgd,0.454,0.53,-5.598,0.0344,0.426,0,0.0748,0.128,119.926
https://open.spotify.com/track/03bPbaQ12CidpbMB6VBzVv,0.744,0.656,-6.076,0.0437,0.153,0,0.254,0.394,94
https://open.spotify.com/track/03cZ771VV4ZIRVEbZbZZvO,0.844,0.583,-7.453,0.0677,0.257,1.46E-05,0.115,0.326,145.948
https://open.spotify.com/track/03gvX91BuMzzXPyMjlYhAk,0.483,0.629,-4.396,0.0338,0.405,0,0.0617,0.812,85.957
